| ticks:281 | x-axis=218 | y-axis=-15 | z-axis=108 |
| ticks:301 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:312 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:329 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:340 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:351 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:362 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:373 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:384 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:395 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:406 | x-axis=60 | y-axis=115 | z-axis=190 |
| ticks:440 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:451 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:467 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:478 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:489 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:500 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:511 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:522 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:533 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:544 | x-axis=234 | y-axis=-175 | z-axis=191 |
| ticks:565 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:582 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:593 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:604 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:615 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:626 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:649 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:660 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:671 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:683 | x-axis=33 | y-axis=201 | z-axis=-211 |
| ticks:702 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:718 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:729 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:740 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:751 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:762 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:773 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:784 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:795 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:806 | x-axis=291 | y-axis=128 | z-axis=32 |
| ticks:828 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:845 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:868 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:879 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:890 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:901 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:918 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:929 | x-axis=-190 | y-axis=-17 | z-axis=39 |
| ticks:15 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:26 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:42 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:53 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:64 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:75 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:86 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:97 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:108 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:119 | x-axis=312 | y-axis=138 | z-axis=16 |
| ticks:141 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:151 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:169 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:180 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:191 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:214 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:226 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:237 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:248 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:259 | x-axis=-87 | y-axis=69 | z-axis=179 |
| ticks:278 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:289 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:305 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:316 | x-axis=91 | y-axis=202 | z-axis=210 |
| ticks:327 | x-axis=91 | y-axis=202 | z-axis=210 |
